#Comment,Designator,Footprint,Part#
ATTINY10-TSHR,U1,ATtiny10,C128438
CL21B104KCFNNNE,C1,C0805_104,C28233
TP127-X6,TP1,TP127-X6,
TS-1186U-B-A,SW1,TS-1186U-B-A,C571343
tmp220703170937,CN1,tmp220703170937,
